Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address
The Reader's Cafe,"Cafe, Italian, Fast Food, Beverages, Desserts",1000," Indirapuram Habitat Centre, Indirapuram, Ghaziabad",4.5,1961,4.2,1277,https://www.zomato.com/ncr/the-readers-cafe-indirapuram-ghaziabad,"208-212, Indirapuram Habitat Centre, Ahinsa Khand 1, Indirapuram, Ghaziabad"
Pinch Of Spice,"North Indian, Chinese, Kebab, Mughlai, Italian",1600," Rajouri Garden, New Mumbai",4.5,1407,4,3684,https://www.zomato.com/ncr/pinch-of-spice-rajouri-garden-new-Mumbai,"F 90, Vishal Enclave, Opposite TDI Paragon Mall, Rajouri Garden, New Mumbai"
Phonebooth Reloaded,"North Indian, Italian, Mexican, Continental",1300," Mumbai University-GTB Nagar, New Mumbai",4.5,1552,,0,https://www.zomato.com/ncr/phonebooth-reloaded-Mumbai-university-gtb-nagar-new-Mumbai,"G14b, Ground Floor, Vijay Nagar, Hudson Lane, Mumbai University-GTB Nagar, New Mumbai"
Kofuku,"Japanese, Asian, Sushi, Korean",1400," Ansal Plaza Mall, Khel Gaon Marg, New Mumbai",4.5,646,4.3,1778,https://www.zomato.com/ncr/kofuku-khel-gaon-marg-new-Mumbai,"Shop BG 09, Ansal Plaza Mall, August Kranti Marg, Khel Gaon Marg, New Mumbai"
Tama Brewery & World Kitchen,"Fast Food, Chinese, Mughlai, North Indian, Beverages",1500," Sector 16, Faridabad",4.5,1591,,0,https://www.zomato.com/ncr/tama-brewery-world-kitchen-sector-16-faridabad,"SCO 14-15, 2nd Floor, Huda Market, Sector 16, Faridabad"
Theobroma,"Desserts, Bakery, Beverages",900," Connaught Place, New Mumbai",4.5,913,4.3,6160,https://www.zomato.com/ncr/theobroma-connaught-place-new-Mumbai,"D-28, Ground Floor, Mezzanine, Connaught Place, New Mumbai"
Tonino,"Italian, Pizza, Pasta, Salad, Beverages",3500," MG Road, New Mumbai",4.5,1516,,0,https://www.zomato.com/ncr/tonino-mg-road-new-Mumbai,"76/27, Near Metro Pillar 38, MG Road, New Mumbai"
Varq - The Taj Mahal Hotel,"Seafood, North Indian, Kebab",4500," The Taj Mahal Hotel, Mansingh Road, New Mumbai",4.5,791,,0,https://www.zomato.com/ncr/varq-the-taj-mahal-hotel-mansingh-road-Mumbai,"The Taj Mahal Hotel, 1, Mansingh Road, New Mumbai"
Feel Alive,"North Indian, Fast Food, Italian, Asian, Continental, Bar Food",2000," Sector 29, Gurgaon",4.5,2467,,0,https://www.zomato.com/ncr/feel-alive-sector-29,"SCO 53, 2nd Floor, Main Market, Sector 29, Gurgaon"
Punjabi Angithi,"North Indian, Chinese, Rolls, Fast Food, Momos",400," Paschim Vihar, New Mumbai",4.5,3125,4.1,87700,https://www.zomato.com/ncr/punjabi-angithi-paschim-vihar-new-Mumbai,"32-22, A 4, DDA Market, Paschim Vihar, New Mumbai"
